timestamp,HR,arousal,RR,HR_mean,HR_std,HR_min,HR_max
2025-10-26T20:41:11.238332,62,0.4,0.88,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:12.230125,63,0.4,,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:13.222220,64,0.4,,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:14.253860,64,0.4,,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:15.253187,64,0.4,,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:16.241810,64,0.5,,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:17.227883,63,0.57,,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:18.400283,63,0.65,,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:19.260055,64,0.75,,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:20.251561,63,0.75,"0.97, 0.72, 1.22, 0.98",64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:21.236330,62,0.75,0.99,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:22.278036,61,0.65,0.93,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:23.402853,61,0.55,0.97,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:24.254052,60,0.45,1.05,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:25.244168,60,0.35,1.04,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:26.233267,60,0.25,,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:27.324604,60,0.17,1.08,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:28.260569,59,0.1,1.02,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:29.249716,59,0.0,1.04,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:30.238623,58,0.06,1.01,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:31.231140,57,0.11,0.95,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:32.259953,57,0.16,0.89,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:33.256056,57,0.21,0.95,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:34.240574,58,0.23,1.08,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:35.253509,59,0.24,0.99,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:36.263753,59,0.25,1.01,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:37.272138,59,0.27,1.04,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:38.245411,59,0.28,1.01,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:39.241281,58,0.3,1.01,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:40.222671,58,0.26,1.01,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:41.253425,58,0.23,0.98,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:42.241927,58,0.2,1.06,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:43.238901,58,0.21,0.99,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:44.227307,58,0.26,0.98,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:45.307636,58,0.31,0.93,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:46.293569,58,0.31,1.10,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:47.237743,58,0.29,0.98,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:48.238338,58,0.28,1.06,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:49.232344,58,0.26,0.97,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:50.270742,58,0.24,0.88,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:51.265431,58,0.22,0.95,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:52.245749,58,0.2,0.93,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:53.265565,59,0.15,0.90,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:54.270102,60,0.07,1.05,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:55.295037,61,0.01,0.95,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:56.283923,61,0.0,1.03,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:57.243442,61,0.0,0.98,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:58.221355,61,0.0,0.93,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:41:59.253271,61,0.0,0.95,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:00.242143,60,0.01,0.92,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:01.235766,60,0.01,1.09,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:02.226878,61,0.01,0.98,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:03.261204,60,0.01,0.98,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:04.252918,60,0.01,0.94,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:05.245099,60,0.01,0.90,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:06.239533,61,0.02,0.90,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:07.218287,61,0.02,1.00,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:08.272697,61,0.02,0.92,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:09.247853,60,0.02,0.98,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:10.240259,61,0.03,1.01,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:11.232077,61,0.07,0.98,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:12.309574,61,0.11,0.99,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:13.294008,61,0.15,0.93,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:14.261179,61,0.19,0.93,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:15.240284,60,0.22,0.89,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:16.227478,60,0.22,1.07,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:17.287642,61,0.23,0.97,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:18.249745,61,0.23,0.98,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:19.242843,61,0.23,1.04,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:20.235070,61,0.21,0.97,64.62777129521587,3.6001652428791036,57,88
2025-10-26T20:42:21.325175,60,0.17,0.98,64.62777129521587,3.6001652428791036,57,88
